time,speed
0:01:09,2
0:01:09,2
0:01:09,2
0:01:09,2
0:01:09,2
0:01:09,2
0:01:09,2
0:01:09,1
0:01:09,1
0:01:09,1
0:01:09,1
0:01:09,1
0:01:09,1
0:01:10,1
0:01:10,1
0:01:10,1
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,1
0:01:10,1
0:01:10,1
0:01:10,1
0:01:10,1
0:01:10,1
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:10,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:11,0
0:01:12,0
0:01:12,0
0:01:12,0
0:01:12,0
0:01:12,0
0:01:12,0
0:01:12,0
0:01:12,0
0:01:12,0
0:01:12,0
0:01:12,0
0:01:12,1
0:01:12,1
0:01:12,1
0:01:12,1
0:01:12,1
0:01:12,1
0:01:12,1
0:01:12,1
0:01:12,1
0:01:12,1
0:01:12,1
0:01:12,1
0:01:12,1
0:01:12,1
0:01:12,1
0:01:12,1
0:01:13,1
0:01:13,1
0:01:13,0
0:01:13,0
0:01:13,0
0:01:14,0
0:01:14,0
0:01:14,0
0:01:14,0
0:01:14,0
0:01:14,0
0:01:15,0
0:01:15,0
0:01:15,0
0:01:15,0
0:01:15,0
0:01:15,0
0:01:16,0
0:01:16,0
0:01:16,0
0:01:16,0
0:01:16,0
0:01:16,0
0:01:17,0
0:01:17,0
0:01:17,0
0:01:17,0
0:01:17,0
0:01:17,0
0:01:18,0
0:01:18,0
0:01:18,0
0:01:18,0
0:01:19,0
0:01:19,0
0:01:19,0
0:01:19,0
0:01:19,0
0:01:19,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:20,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:21,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:22,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:23,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:24,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:25,0
0:01:26,0
0:01:26,0
